date,area,cases
2021-02-03,Alameda,343
2021-02-04,Alameda,324
2021-02-05,Alameda,285
2021-02-06,Alameda,229
2021-02-07,Alameda,153
2021-02-08,Alameda,301
2021-02-09,Alameda,261
2021-02-10,Alameda,262
2021-02-11,Alameda,201
2021-02-12,Alameda,226
2021-02-13,Alameda,149
2021-02-14,Alameda,122
2021-02-15,Alameda,152
2021-02-16,Alameda,197
2021-02-17,Alameda,169
2021-02-18,Alameda,162
2021-02-19,Alameda,134
2021-02-20,Alameda,100
2021-02-21,Alameda,91
2021-02-22,Alameda,194
2021-02-23,Alameda,151
2021-02-24,Alameda,139
2021-02-25,Alameda,120
2021-02-26,Alameda,121
2021-02-27,Alameda,95
2021-02-28,Alameda,73
2021-03-01,Alameda,121
2021-03-02,Alameda,127
2021-03-03,Alameda,122
2021-03-04,Alameda,120
2021-03-05,Alameda,109
2021-03-06,Alameda,86
2021-03-07,Alameda,57
2021-03-08,Alameda,120
2021-03-09,Alameda,111
2021-03-10,Alameda,87
2021-03-11,Alameda,106
2021-03-12,Alameda,91
2021-03-13,Alameda,77
2021-03-14,Alameda,60
2021-03-15,Alameda,85
2021-03-16,Alameda,89
2021-03-17,Alameda,111
2021-03-18,Alameda,76
2021-03-19,Alameda,81
2021-03-20,Alameda,72
2021-03-21,Alameda,68
2021-03-22,Alameda,87
2021-03-23,Alameda,91
2021-03-24,Alameda,102
2021-03-25,Alameda,93
2021-03-26,Alameda,94
2021-03-27,Alameda,62
2021-03-28,Alameda,71
2021-03-29,Alameda,121
2021-03-30,Alameda,100
2021-03-31,Alameda,100
2021-04-01,Alameda,82
2021-04-02,Alameda,79
2021-04-03,Alameda,73
2021-04-04,Alameda,67
2021-04-05,Alameda,119
2021-04-06,Alameda,116
2021-04-07,Alameda,113
2021-04-08,Alameda,84
2021-04-09,Alameda,108
2021-04-10,Alameda,67
2021-04-11,Alameda,64
2021-04-12,Alameda,137
2021-04-13,Alameda,102
2021-04-14,Alameda,106
2021-04-15,Alameda,97
2021-04-16,Alameda,107
2021-04-17,Alameda,80
2021-04-18,Alameda,73
2021-04-19,Alameda,115
2021-04-20,Alameda,118
2021-04-21,Alameda,95
2021-04-22,Alameda,79
2021-04-23,Alameda,90
2021-04-24,Alameda,74
2021-04-25,Alameda,55
2021-04-26,Alameda,101
2021-04-27,Alameda,94
2021-04-28,Alameda,90
2021-04-29,Alameda,72
2021-04-30,Alameda,67
2021-05-01,Alameda,61
2021-05-02,Alameda,43
2021-05-03,Alameda,85
2021-05-04,Alameda,76
2021-05-05,Alameda,92
2021-05-06,Alameda,61
2021-05-07,Alameda,76
2021-05-08,Alameda,53
2021-05-09,Alameda,42
2021-05-10,Alameda,70
2021-05-11,Alameda,68
2021-05-12,Alameda,65
2021-05-13,Alameda,32
2021-05-14,Alameda,43
2021-05-15,Alameda,34
2021-05-16,Alameda,26
2021-05-17,Alameda,64
2021-05-18,Alameda,53
2021-05-19,Alameda,74
2021-05-20,Alameda,39
2021-05-21,Alameda,43
2021-05-22,Alameda,26
